ИНН;КПП;ОГРН;Наименование краткое;Наименование полное;Адрес юридический;Индекс;Регион (область);Район;Город / населённый пункт;E-mail;Телефоны;Сайт;Источник контактов;Должность руководителя;ФИО руководителя;Численность работников;Численность на дату;ОКВЭД;ОКВЭД наименование;Статус
0910003081;091001001;1040900873254;"МБОУ ""СОШ А. БЕСЛЕНЕЙ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. БЕСЛЕНЕЙ""";369414, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н ХАБЕЗСКИЙ, АУЛ БЕСЛЕНЕЙ, УЛ. ШКОЛЬНАЯ, ЗД. 1;369414;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ БЕСЛЕНЕЙ;;;;;Директор;Хатуов Ибрагим Шамсудинович;;;85.14;Образование среднее общее;действующая
0905007556;090501001;1020900774652;"МБОУ ""СОШ А. ВЕРХНИЙ УЧКУЛАН""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АУЛА ВЕРХНИЙ УЧКУЛАН""";369233, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, М.Р-Н КАРАЧАЕВСКИЙ, С.П. УЧКУЛАНСКОЕ, АУЛ УЧКУЛАН, УЛ. ИМ.КАПЛАНА ТЕБУЕВА, ЗД. 8;369233;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;С.П. УЧКУЛАНСКОЕ;;;;;Директор;Биджиева Зульфа Солтан-Муратовна;;;85.14;Образование среднее общее;действующая
0916000908;091601001;1050900734060;"МБОУ ""СОШ А. ДЖЕГУТА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМ. Х.У. БОГАТЫРЕВА А. ДЖЕГУТА""";369316, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н УСТЬ-ДЖЕГУТИНСКИЙ, АУЛ ДЖЕГУТА, УЛ. ГЕРБЕКОВА, ЗД. 11;369316;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ ДЖЕГУТА;;;;;"Исполняющий обязанности директора мбоу""сош а.джегута""";Борлакова Анжелика Юсуфовна;;;85.14;Образование среднее общее;действующая
0910003959;091001001;1020900752201;"МБОУ ""СОШ А. ЖАКО""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. ЖАКО""";369428, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н ХАБЕЗСКИЙ, АУЛ ЖАКО, УЛ. А.АФАУНОВА, Д. 8;369428;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ ЖАКО;;;;;Директор;Хубиева Салима Хезировна;;;85.14;Образование среднее общее;действующая
0910004014;091001001;1020900752542;"МБОУ ""СОШ А. ЗЕЮКО""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А.ЗЕЮКО""";369412, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н ХАБЕЗСКИЙ, АУЛ ЗЕЮКО, УЛ. АТАЖУКИНА, ЗД. 82;369412;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ ЗЕЮКО;;;;;Директор;Орзалиева Лариса Мухамедовна;;;85.14;Образование среднее общее;действующая
0903006155;090301001;1020900611214;"МБОУ ""СОШ А. ИКОН-ХАЛК ИМ. Х.С-Г. КУМУКОВА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. ИКОН-ХАЛК ИМЕНИ ХАЛМУРЗЫ САХАТ-ГЕРЕЕВИЧА КУМУКОВА""";369343, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н НОГАЙСКИЙ, АУЛ ИКОН-ХАЛК, УЛ А.НАЙМАНОВА, Д. 22;369343;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ ИКОН-ХАЛК;;;;;Директор;Унаджева Фатима Темиржановна;;;85.14;Образование среднее общее;действующая
0910003980;091801001;1020900752146;"МБОУ ""СОШ А. ИНЖИЧИШХО ИМЕНИ ДЕРЕВА С.Э.""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. ИНЖИЧИШХО ИМЕНИ ДЕРЕВА СТАНИСЛАВА ЭДИКОВИЧА""";369426, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н ХАБЕЗСКИЙ, АУЛ ИНЖИЧИШХО, УЛ. С. ДЕРЕВА, Д. 47;369426;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ ИНЖИЧИШХО;;;;;Исполняющий обязанности директора;Псеунова Марина Маметбиевна;;;85.14;Образование среднее общее;действующая
0905007740;090501001;1020900774696;"МБОУ ""СОШ А. КУМЫШ ИМЕНИ МУССЫ БАТЧАЕВА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. КУМЫШ ИМЕНИ МУССЫ БАТЧАЕВА""";369222, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н КАРАЧАЕВСКИЙ, АУЛ КУМЫШ, УЛ. МУССЫ БАТЧАЕВА, Д. 43;369222;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ КУМЫШ;;;;;Директор;Чомаева Маргарита Кошкеновна;;;85.14;Образование среднее общее;действующая
0904006447;090401001;1030901116575;"МБОУ ""СОШ А. КЫЗЫЛ-ОКТЯБРЬ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АУЛА КЫЗЫЛ-ОКТЯБРЬ""";369170, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, М.Р-Н ЗЕЛЕНЧУКСКИЙ, С.П. КЫЗЫЛ-ОКТЯБРЬСКОЕ, АУЛ КЫЗЫЛ-ОКТЯБРЬ, УЛ. ШКОЛЬНАЯ, Д. 7;369170;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;С.П. КЫЗЫЛ-ОКТЯБРЬСКОЕ;;;;;Директор;Аджиев Руслан Набиевич;;;85.14;Образование среднее общее;действующая
0910004007;091801001;1020900752377;"МБОУ ""СОШ А. КЫЗЫЛ-ЮРТ ИМЕНИ БУЛАТУКОВА ХАСАНА ШАХИМОВИЧА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. КЫЗЫЛ-ЮРТ ИМЕНИ БУЛАТУКОВА ХАСАНА ШАХИМОВИЧА""";369420, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н ХАБЕЗСКИЙ, АУЛ КЫЗЫЛ-ЮРТ, УЛ. БУЛАТУКОВА, Д. 4;369420;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ КЫЗЫЛ-ЮРТ;;;;;Исполняющий обязанности директора;Баисова Альбина Менглибиевна;;;85.14;Образование среднее общее;действующая
0903006148;090301001;1020900611148;"МБОУ ""СОШ А. МАЛО-АБАЗИНСК ИМ. ПАСАРБИ ЦЕКОВА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. МАЛО-АБАЗИНСК ИМ. ПАСАРБИ ЦЕКОВА""";369355, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, М.Р-Н АДЫГЕ-ХАБЛЬСКИЙ, С.П. ГРУШКИНСКОЕ, Х. ГРУШКА, УЛ. ГАГАРИНА, Д. 75;369355;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;С.П. ГРУШКИНСКОЕ;;;;;Директор;Агба Мазан Хизирович;;;85.14;Образование среднее общее;действующая
0910004021;091801001;1020900752927;"МБОУ ""СОШ А. МАЛЫЙ ЗЕЛЕНЧУК ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА УМАРА ХАБЕКОВА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. МАЛЫЙ ЗЕЛЕНЧУК ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА УМАРА ХАБЕКОВА""";369415, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н ХАБЕЗСКИЙ, АУЛ МАЛЫЙ ЗЕЛЕНЧУК, ПЕР. М.ШАКОВА, ЗД. 1;369415;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ МАЛЫЙ ЗЕЛЕНЧУК;;;;;Директор;Охтова Елена Рамазановна;;;85.14;Образование среднее общее;действующая
0916000954;091601001;1050900734125;"МБОУ ""СОШ А. НОВАЯ ДЖЕГУТА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМ. Х.СУЮНЧЕВА А. НОВАЯ ДЖЕГУТА""";369317, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н УСТЬ-ДЖЕГУТИНСКИЙ, АУЛ НОВАЯ ДЖЕГУТА, УЛ. СОВЕТСКАЯ, Д. 97;369317;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ НОВАЯ ДЖЕГУТА;;;;;Директор;Узденов Борис Хусеевич;;;85.14;Образование среднее общее;действующая
0905007683;090501001;1020900775950;"МБОУ ""СОШ А. НОВАЯ ТЕБЕРДА ИМ. ГЕРОЯ РОССИИ К.Х. БОТАШЕВА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АУЛА НОВАЯ ТЕБЕРДА ИМЕНИ ГЕРОЯ РОССИИ КАНАМАТА ХУСЕЕВИЧА БОТАШЕВА""";369230, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н КАРАЧАЕВСКИЙ, АУЛ НОВАЯ ТЕБЕРДА, УЛ ШОССЕЙНАЯ, Д. 19А;369230;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ НОВАЯ ТЕБЕРДА;;;;;Директор;Чомаев Рустам Ракаевич;;;85.14;Образование среднее общее;действующая
0910003941;091801001;1020900753532;"МБОУ ""СОШ А. ПСАУЧЬЕ-ДАХЕ ИМЕНИ ГЕРОЯ РОССИИ О.М.КАРДАНОВА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А.ПСАУЧЬЕ-ДАХЕ ИМЕНИ ГЕРОЯ РОССИИ ОХИДА МУССОВИЧА КАРДАНОВА""";369413, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н ХАБЕЗСКИЙ, АУЛ ПСАУЧЬЕ-ДАХЕ, УЛ. А.ТЕМИРОВА, Д. 1;369413;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ ПСАУЧЬЕ-ДАХЕ;;;;;Директор;Кубанова Аминат Мухамедовна;;;85.14;Образование среднее общее;действующая
0903006282;090301001;1020900611434;"МБОУ ""СОШ А. СТАРО-КУВИНСК ИМ. АКАДЕМИКА Н.Б. ЭКБА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. СТАРО-КУВИНСК ИМЕНИ АКАДЕМИКА Н.Б. ЭКБА""";369354, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н АДЫГЕ-ХАБЛЬСКИЙ, АУЛ СТАРО-КУВИНСК, УЛ. ОКТЯБРЬСКАЯ, Д. 51;369354;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ СТАРО-КУВИНСК;;;;;Директор;Килба Амра Рамазановна;;;85.14;Образование среднее общее;действующая
0910003130;091801001;1020900752047;"МБОУ ""СОШ А. ХАБЕЗ ИМЕНИ АРАШУКОВА Р.Р.""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. ХАБЕЗ ИМЕНИ АРАШУКОВА РАФАЭЛЯ РАУЛЕВИЧА""";369400, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, М.Р-Н ХАБЕЗСКИЙ, С.П. ХАБЕЗСКОЕ, АУЛ ХАБЕЗ, УЛ. СОВЕТСКАЯ, ЗД. 44;369400;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;С.П. ХАБЕЗСКОЕ;;;;;Директор;Хапсирокова Ирина Мухадиновна;;;85.14;Образование среднее общее;действующая
0916000898;091601001;1050900734070;"МБОУ ""СОШ А. ЭЛЬТАРКАЧ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМ. Ю.К. КАРАКЕТОВА А. ЭЛЬТАРКАЧ""";369321, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н УСТЬ-ДЖЕГУТИНСКИЙ, АУЛ ЭЛЬТАРКАЧ, УЛ. Р. ГОЧИЯЕВА, Д. 1;369321;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ ЭЛЬТАРКАЧ;;;;;"Исполняющий обязанности директора мбоу ""сош а.эльтаркач""";Боташева Ханифа Борисовна;;;85.14;Образование среднее общее;действующая
0903006229;090301001;1020900611379;"МБОУ ""СОШ А.АДИЛЬ-ХАЛК ИМ.А.Х.УРАКЧИЕВА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А.АДИЛЬ-ХАЛК ИМ.А.Х.УРАКЧИЕВА""";369358, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н НОГАЙСКИЙ, АУЛ АДИЛЬ-ХАЛК, УЛ. ДЖЕЛЯБИЕВА, Д.76;369358;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ АДИЛЬ-ХАЛК;;;;;Исполняющий обязанности директора;Утакаева Фатима Муссовна;;;85.14;Образование среднее общее;действующая
0903001622;090301001;1020900611291;"МБОУ ""СОШ А.АДЫГЕ-ХАБЛЬ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А.АДЫГЕ-ХАБЛЬ""";369330, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н АДЫГЕ-ХАБЛЬСКИЙ, АУЛ АДЫГЕ-ХАБЛЬ, УЛ ШКОЛЬНАЯ, Д. 5;369330;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ АДЫГЕ-ХАБЛЬ;;;;;Диретор;Кохова Бэлла Зурабовна;;;85.14;Образование среднее общее;действующая
0903006300;090301001;1020900611390;"МБОУ ""СОШ А.АПСУА"" ИМЕНИ ТЛИСОВА Н.Н.";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А.АПСУА"" ИМЕНИ ТЛИСОВА Н.Н.";369361, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н АДЫГЕ-ХАБЛЬСКИЙ, АУЛ АПСУА, УЛ. ШКОЛЬНАЯ, Д. 13;369361;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ АПСУА;;;;;Директор;Тлисова Галимат Султановна;;;85.14;Образование среднее общее;действующая
0903006187;090301001;1020900611247;"МБОУ ""СОШ А.БАРАЛКИ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А.БАРАЛКИ""";369345, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н АДЫГЕ-ХАБЛЬСКИЙ, АУЛ БАРАЛКИ, УЛ. ОКТЯБРЬСКАЯ, ЗД. 37А;369345;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ БАРАЛКИ;;;;;Директор;Нанаева Мукминат Абдул-Салемовна;;;85.14;Образование среднее общее;действующая
0903006250;090301001;1020900611126;"МБОУ ""СОШ А.ВАКО-ЖИЛЕ ИМ.ГЕРОЯ СОВЕТСКОГО СОЮЗА КАРДАНОВА М.А.""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А.ВАКО-ЖИЛЕ ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА КАРДАНОВА МУРАТА АСХАДОВИЧА""";369356, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н АДЫГЕ-ХАБЛЬСКИЙ, АУЛ ВАКО-ЖИЛЕ, УЛ. ПЕРВОМАЙСКАЯ, Д. 43;369356;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ ВАКО-ЖИЛЕ;;;;;Директор;Адыгешаова Фатимат Айтековна;;;85.14;Образование среднее общее;действующая
0916000915;091601001;1050900734081;"МБОУ ""СОШ А.ГЮРЮЛЬДЕУК""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А.ГЮРЮЛЬДЕУК""";369314, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н УСТЬ-ДЖЕГУТИНСКИЙ, АУЛ ГЮРЮЛЬДЕУК, УЛ. О.КАСАЕВА, ЗД. 4;369314;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ ГЮРЮЛЬДЕУК;;;;;"Исполняющий обязанности директора мбоу ""сош а.гюрюльдеук""";Алиева Айна Алимуратовна;;;85.14;Образование среднее общее;действующая
0905007669;090501001;1020900774795;"МБОУ ""СОШ А.ДЖИНГИРИК""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АУЛА ДЖИНГИРИК""";369245, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н КАРАЧАЕВСКИЙ, АУЛ ДЖИНГИРИК, УЛ. ШКОЛЬНАЯ, ЗД. 1;369245;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ ДЖИНГИРИК;;;;;Директор;Куатов Радик Юсуфович;;;85.14;Образование среднее общее;действующая
0904006060;090401001;1020900974775;"МБОУ ""СОШ А.ИЛЬИЧ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АУЛА ИЛЬИЧ""";369166, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н ЗЕЛЕНЧУКСКИЙ, АУЛ ИЛЬИЧ, УЛ. КРАСНОАРМЕЙСКАЯ, ЗД. 14;369166;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ ИЛЬИЧ;;;;;Директор;Чомаев Мурат Рамазанович;;;85.14;Образование среднее общее;действующая
0916000922;091601001;1050900734136;"МБОУ ""СОШ А.КЫЗЫЛ-КАЛА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. КЫЗЫЛ-КАЛА""";369319, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н УСТЬ-ДЖЕГУТИНСКИЙ, АУЛ КЫЗЫЛ-КАЛА, УЛ. ШКОЛЬНАЯ, Д. 1;369319;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ КЫЗЫЛ-КАЛА;;;;;Директор;Семёнова Уркуят Хыйсаевна;;;85.14;Образование среднее общее;действующая
0903006194;090301001;1020900611258;"МБОУ ""СОШ А.КЫЗЫЛ-ТОГАЙ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. КЫЗЫЛ-ТОГАЙ""";369345, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н НОГАЙСКИЙ, АУЛ КЫЗЫЛ-ТОГАЙ, УЛ ПОБЕДЫ, ЗД. 10;369345;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ КЫЗЫЛ-ТОГАЙ;;;;;Врио директора;Кумратова Салимат Исмаиловна;;;85.14;Образование среднее общее;действующая
0903001171;090301001;1020900611236;"МБОУ ""СОШ А.НОВО-КУВИНСК""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А.НОВО-КУВИНСК""";369353, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н АДЫГЕ-ХАБЛЬСКИЙ, АУЛ НОВО-КУВИНСК, УЛ. ШИРОКАЯ, Д. 15;369353;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ НОВО-КУВИНСК;;;;;Директор;Адзинова Инна Борисовна;;;85.14;Образование среднее общее;действующая
0916000947;091601001;1050900734246;"МБОУ ""СОШ А.САРЫ-ТЮЗ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА А. САРЫ-ТЮЗ ИМЕНИ Х.А. АДЖИЕВОЙ""";369324, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Р-Н УСТЬ-ДЖЕГУТИНСКИЙ, АУЛ САРЫ-ТЮЗ, УЛ Х.АДЖИЕВОЙ, ЗД. 1А;369324;КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА;;АУЛ САРЫ-ТЮЗ;;;;;Директор;Борлакова Зурида Орысбиевна;;;85.14;Образование среднее общее;действующая
