ИНН;КПП;ОГРН;Наименование краткое;Наименование полное;Адрес юридический;Индекс;Регион (область);Район;Город;Населённый пункт;E-mail;Телефоны;Сайт;Должность руководителя;ФИО руководителя;Численность работников;Численность на дату;ОКВЭД;ОКВЭД наименование;Статус
2460009172;246201001;1022402669959;"МБУДО ""СШОР ПО ТЯЖЕЛОЙ АТЛЕТИКЕ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ПО ТЯЖЕЛОЙ АТЛЕТИКЕ""";;;Красноярский край;;;;;;;Директор;Кузнецов Денис Михайлович;;;;;
2437001746;243701001;1032400920111;"МБУДО ""ТУРУХАНСКАЯ ДМШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ТУРУХАНСКАЯ ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Ержанова Арина Владимировна;;;;;
2439005834;243901001;1032400951252;"МБУДО ""УЖУРСКАЯ ДШИ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""УЖУРСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ""";;;Красноярский край;;;;;;;Директор;Журавлева Ольга Владимировна;;;;;
2424002510;242401001;1022400560082;"МБУДО ""ШАЛИНСКАЯ ДШИ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ШАЛИНСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ""";;;Красноярский край;;;;;;;Директор;Эскин Дмитрий Яковлевич;;;;;
2442007334;244201001;1022401129783;"МБУДО ""ШУШЕНСКАЯ ДХШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ШУШЕНСКАЯ ДЕТСКАЯ ХУДОЖЕСТВЕННАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Мазай Олег Владимирович;;;;;
2442007327;244201001;1022401129827;"МБУДО ""ШУШЕНСКАЯ ДШИ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ШУШЕНСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ""";;;Красноярский край;;;;;;;Директор;Бибко Наталья Петровна;;;;;
2404009644;240401001;1022400558938;МБУДО БЕРЕЗОВСКАЯ ДШИ;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ БЕРЕЗОВСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ;;;Красноярский край;;;;;;;Директор;Бакул Светлана Николаевна;;;;;
2420006707;242001001;1022400827921;МБУДО ДМШ Г. КОДИНСКА;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА"" Г. КОДИНСКА";;;Красноярский край;;;;;;;Директор;Алексеева Наталья Васильевна;;;;;
2450008807;245001001;1022401360530;МБУДО ДМШ № 2;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА № 2;;;Красноярский край;;;;;;;Директор;Рулькевич Любовь Викторовна;;;;;
2450008797;245001001;1022401360255;МБУДО ДХШ;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТСКАЯ ХУДОЖЕСТВЕННАЯ ШКОЛА;;;Красноярский край;;;;;;;Директор;Патрушева Ольга Викторовна;;;;;
8800002940;880001001;1028800000899;МБУДО ЭРДШИ;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ЭВЕНКИЙСКАЯ РАЙОННАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ"" ЭВЕНКИЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА КРАСНОЯРСКОГО КРАЯ";;;Красноярский край;;;;;;;Директор;Александрова Екатерина Христофоровна, ИСПОЛНЯЮЩАЯ ОБЯЗАННОСТИ ДИРЕКТОРА: Саматова Мария Германовна;;;;;
2439004735;243901001;1022401094286;"МКОУ "" СОШ № 2 ЗАТО П. СОЛНЕЧНЫЙ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 2 ИМЕНИ МАРШАЛА СОВЕТСКОГО СОЮЗА КРЫЛОВА Н.И. ЗАТО П. СОЛНЕЧНЫЙ КРАСНОЯРСКОГО КРАЯ""";;;Красноярский край;;;;;;;Директор;Круглова Оксана Александровна;;;;;
2405004536;240501001;1022401156326;"МКОУ ""АРЕФЬЕВСКАЯ ООШ""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АРЕФЬЕВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Кожевникова Ольга Алексеевна;;;;;
2435004090;243501001;1022401037933;"МКОУ ""АТАМАНОВСКАЯ СШ ИМ. ГЕРОЯ СОВЕТСКОГО СОЮЗА А.М.КОРОЛЬСКОГО""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АТАМАНОВСКАЯ СРЕДНЯЯ ШКОЛА ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА АЛЕКСАНДРА МИХАЙЛОВИЧА КОРОЛЬСКОГО""";;;Красноярский край;;;;;;;Директор;Чечёткин Михаил Анатольевич;;;;;
2421002085;242101001;1022400668366;"МКОУ ""БАЛАХТОНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ  ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БАЛАХТОНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Лобос Александр Степанович;;;;;
2408003386;240801001;1022401036459;"МКОУ ""БАРТАТСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БАРТАТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Горячевский Алексей Иванович;;;;;
2437010028;243701001;1022401069305;"МКОУ ""БАХТИНСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БАХТИНСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Хохлов Илья Андреевич;;;;;
2443017670;244301001;1022401156172;"МКОУ ""БЕРЕЗОВСКАЯ ОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БЕРЕЗОВСКАЯ ОСНОВНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Чеберяк Василий Власович;;;;;
2409001688;240901001;1022401156414;"МКОУ ""БЕРЕЗОВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БЕРЕЗОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Хомченко Елена Геннадьевна;;;;;
2430002349;243001001;1022401115153;"МКОУ ""БОГУСЛАВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БОГУСЛАВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Исполняющий обязанности директора;Сивцов Алексей Валерьевич;;;;;
2408003499;240801001;1032400890103;"МКОУ ""БОЛЬШЕМУРТИНСКАЯ СОШ № 1""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БОЛЬШЕМУРТИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 1""";;;Красноярский край;;;;;;;Исполняющий обязанности директора;Глушкова Наталия Валерьевна;;;;;
2408003474;240801001;1022401038274;"МКОУ ""БОЛЬШЕМУРТИНСКАЯ СОШ № 2""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БОЛЬШЕМУРТИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 2""";;;Красноярский край;;;;;;;Директор;Нарутто Василя Салаутовна;;;;;
2408003361;240801001;1032400890334;"МКОУ ""БОЛЬШЕМУРТИНСКАЯ СОШ № 3""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БОЛЬШЕМУРТИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 3""";;;Красноярский край;;;;;;;Директор;Бурмистрова Ольга Сергеевна;;;;;
2443020000;244301001;1022401158823;"МКОУ ""БОЛЬШЕСАЛЫРСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БОЛЬШЕСАЛЫРСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Исполняющая обязанности директора;Колмогорова Ольга Геннадьевна;;;;;
2437010109;243701001;1022401069349;"МКОУ ""ВЕРЕЩАГИНСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ВЕРЕЩАГИНСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор школы;Дистергефт Алена Александровна;;;;;
2408003435;240801001;1022401037977;"МКОУ ""ВЕРХКАЗАНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ВЕРХКАЗАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор учреждения;Кучева Ирина Ивановна;;;;;
2437010081;243701001;1022401069404;"МКОУ ""ВЕРХНЕИМБАТСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ВЕРХНЕИМБАТСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Коптелина Ольга Фёдоровна;;;;;
2430002268;243001001;1022401114757;"МКОУ ""ВЕРШИНО-РЫБИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ВЕРШИНО-РЫБИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ Н.Я.БИЗЮКОВА""";;;Красноярский край;;;;;;;Исполняющий обязанности директора;Фроленкова Наталья Ивановна;;;;;
2437010074;243701001;1022401069393;"МКОУ ""ВОРОГОВСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ВОРОГОВСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Вавилова Лариса Викторовна;;;;;
2435004283;243501001;1032400890246;"МКОУ ""ВЫСОТИНСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ВЫСОТИНСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Бакурская Анна Николаевна;;;;;
2437010042;243701001;1022401069294;"МКОУ ""ГОРОШИХИНСКАЯ ОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ГОРОШИХИНСКАЯ ОСНОВНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Исполняющий обязанности директора;Куйрукова Ольга Васильевна;;;;;
2430002282;243001001;1022401115175;"МКОУ ""ЗАПАСНОИМБЕЖСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЗАПАСНОИМБЕЖСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ С.В.ПОТАПОВА""";;;Красноярский край;;;;;;;Директор;Никитина Татьяна Николаевна;;;;;
2437010035;243701001;1022401069382;"МКОУ ""ЗОТИНСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЗОТИНСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Трещалов Михаил Евгеньевич;;;;;
2430002356;243001001;1022401116320;"МКОУ ""ИВАНОВСКАЯ ООШ""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ИВАНОВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Председатель ликвидационной комиссии;Сладкова Нина Викторовна;;;;;
2420004474;242001001;1022400828350;"МКОУ ""ИМБИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ИМБИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Кузнецова Лариса Васильевна;;;;;
2430002370;243001001;1022401115692;"МКОУ ""ИННОКЕНТЬЕВСКАЯ ООШ""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ИННОКЕНТЬЕВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Иванова Лариса Николаевна;;;;;
2437010010;243701001;1022401069371;"МКОУ ""КЕЛЛОГСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КЕЛЛОГСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Исполняющий обязанности директора;Амур Анна Игоревна;;;;;
2421002078;242101001;1022400668510;"МКОУ ""КЕМЧУГСКАЯ СОШ ИМЕНИ М.А. ХЛЕБНИКОВА""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КЕМЧУГСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА МИХАИЛА АНДРЕЕВИЧА ХЛЕБНИКОВА""";;;Красноярский край;;;;;;;Директор;Вильток Елена Владимировна;;;;;
2405004631;240501001;1022401153191;"МКОУ ""КИРЧИЖЕНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КИРЧИЖЕНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Исполняющий обязанности директора;Дружко Нина Владимировна;;;;;
2443020056;244301001;1022401159990;"МКОУ ""КЛЮЧИНСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КЛЮЧИНСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Ворожцова Наталья Валерьевна;;;;;
2430002331;243001001;1022401114504;"МКОУ ""КОЙСКАЯ ООШ""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЙСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Исполняющий обязанности директора;Панова Любовь Валентиновна;;;;;
2435004318;243501001;1022401038098;"МКОУ ""КОНОНОВСКАЯ СШ ИМЕНИ ГЕРОЯ РОССИИ А.А. РЫЖИКОВА""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОНОНОВСКАЯ СРЕДНЯЯ ШКОЛА ИМЕНИ ГЕРОЯ РОССИИ АЛЕКСАНДРА АЛЕКСАНДРОВИЧА РЫЖИКОВА""";;;Красноярский край;;;;;;;директор;Трофимченко Марина Анатольевна;;;;;
2408003611;240801001;1022401036360;"МКОУ ""КРАСНОКЛЮЧИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КРАСНОКЛЮЧИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Председатель ликвидационной комиссии;Максименко Светлана Геннадьевна;;;;;
2409001624;240901001;1022401156030;"МКОУ ""КЫТАТСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КЫТАТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Сарычев Николай Юрьевич;;;;;
2408003481;240801001;1032400890389;"МКОУ ""ЛАКИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛАКИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Садовский Сергей Владимирович;;;;;
2443020137;244301001;1022401160033;"МКОУ ""ЛАПШИХИНСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛАПШИХИНСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Замятина Татьяна Анатольевна;;;;;
2408003717;240801001;1022401036767;"МКОУ ""МЕЖОВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МЕЖОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Стародубцева Мария Павловна;;;;;
2430002275;243001001;1022401114515;"МКОУ ""МИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Исполняющий обязанности директора;Михайленко Андрей Анатольевич;;;;;
2408003594;240801001;1022401038043;"МКОУ ""МОСТОВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МОСТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Малахова Татьяна Александровна;;;;;
2435004269;243501001;1022401037450;"МКОУ ""НАХВАЛЬСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НАХВАЛЬСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Удодова Ольга Юрьевна;;;;;
2409001656;240901001;1022401154137;"МКОУ ""НОВОЕЛОВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НОВОЕЛОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Берш Ольга Эмильевна;;;;;
2409001649;240901001;1022401157371;"МКОУ ""НОВОНИКОЛЬСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НОВОНИКОЛЬСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Сидорова Татьяна Петровна;;;;;
2439005143;243901001;1022401092427;"МКОУ ""НОШ №1"" ЗАТО П. СОЛНЕЧНЫЙ";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №1"" ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ ПОСЕЛОК СОЛНЕЧНЫЙ КРАСНОЯРСКОГО КРАЯ";;;Красноярский край;;;;;;;Директор;Фоменко Елена Петровна;;;;;
2455020766;245501001;1022401538554;"МКОУ ""О(С)ОШ №14""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ОТКРЫТАЯ (СМЕННАЯ) ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 14""";;;Красноярский край;;;;;;;И.о. директора;Чернова Ольга Ивановна;;;;;
2405004656;240501001;1022401153158;"МКОУ ""ОРЛОВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ОРЛОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Исполняющий обязанности директора;Маягачева Галина Егоровна;;;;;
2405004529;240501001;1022401153202;"МКОУ ""ПОЛЕВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ПОЛЕВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Ельчанина Наталья Петровна;;;;;
2408003570;240801001;1022401038263;"МКОУ ""ПРЕДИВИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ПРЕДИВИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Золотуева Ксения Антоновна;;;;;
2443020017;244301001;1022401158977;"МКОУ ""ПРЕОБРАЖЕНСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ПРЕОБРАЖЕНСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Калмыкова Наталья Прокопьевна;;;;;
2443020112;244301001;1022401160110;"МКОУ ""ПРИЧУЛЫМСКАЯ СШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ПРИЧУЛЫМСКАЯ СРЕДНЯЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Петрова Светлана Анатольевна;;;;;
2405003780;240501001;1022401156910;"МКОУ ""ПРОТОЧИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ПРОТОЧИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Литовец Елена Геннадьевна;;;;;
2408003516;240801001;1022401036460;"МКОУ ""РОССИЙСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""РОССИЙСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";;;Красноярский край;;;;;;;Директор;Струзик Марина Фёдоровна;;;;;
